location,continent,date,population,total_cases,total_deaths,people_vaccinated,people_fully_vaccinated
Afghanistan,Asia,2021-06-28,38928341.0,115751.0,4730.0,649434.0,186260.0
Albania,Europe,2021-06-28,2877800.0,132513.0,2456.0,547300.0,396139.0
Algeria,Africa,2021-06-28,43851043.0,138840.0,3699.0,2500000.0,0.0
Andorra,Europe,2021-06-28,77265.0,13882.0,127.0,38667.0,24598.0
Angola,Africa,2021-06-28,32866268.0,38613.0,891.0,943301.0,544991.0
Anguilla,North America,2021-06-25,15002.0,0.0,0.0,9264.0,6525.0
Antigua and Barbuda,North America,2021-06-28,97928.0,1263.0,42.0,36187.0,27744.0
Argentina,South America,2021-06-28,45195777.0,4423636.0,93142.0,15993494.0,3958086.0
Armenia,Asia,2021-06-28,2963234.0,224851.0,4510.0,46503.0,0.0
Aruba,North America,2021-06-28,106766.0,0.0,0.0,67457.0,58418.0
Australia,Oceania,2021-06-28,25499881.0,30560.0,910.0,6152645.0,1222021.0
Austria,Europe,2021-06-28,9006400.0,650324.0,10701.0,4692442.0,2949027.0
Azerbaijan,Asia,2021-06-28,10139175.0,335874.0,4970.0,2139001.0,1210034.0
Bahamas,North America,2021-06-28,393248.0,12467.0,245.0,54199.0,25047.0
Bahrain,Asia,2021-06-28,1701583.0,265477.0,1348.0,1054837.0,979113.0
Bangladesh,Asia,2021-06-28,164689383.0,896770.0,14276.0,5823245.0,4276317.0
Barbados,North America,2021-06-28,287371.0,4077.0,47.0,95023.0,69686.0
Belarus,Europe,2021-06-28,9449321.0,415780.0,3122.0,699141.0,369272.0
Belgium,Europe,2021-06-28,11589616.0,1083478.0,25168.0,7013433.0,3899422.0
Belize,North America,2021-06-28,397621.0,13189.0,329.0,79993.0,26017.0
Benin,Africa,2021-06-28,12123198.0,8170.0,104.0,36188.0,9920.0
Bermuda,North America,2021-06-25,62273.0,0.0,0.0,41662.0,36751.0
Bhutan,Asia,2021-06-28,771612.0,2062.0,1.0,484751.0,0.0
Bolivia,South America,2021-06-28,11673029.0,435568.0,16631.0,1788228.0,662282.0
Bonaire Sint Eustatius and Saba,North America,2021-04-09,26221.0,0.0,0.0,5726.0,1665.0
Bosnia and Herzegovina,Europe,2021-06-28,3280815.0,204991.0,9658.0,301801.0,154720.0
Botswana,Africa,2021-06-28,2351625.0,69680.0,1125.0,153403.0,66085.0
Brazil,South America,2021-06-28,212559409.0,18448402.0,514092.0,71291563.0,25622366.0
British Virgin Islands,North America,2021-06-25,30237.0,0.0,0.0,12562.0,8841.0
Brunei,Asia,2021-06-28,437483.0,259.0,3.0,63432.0,13039.0
Bulgaria,Europe,2021-06-28,6948445.0,421646.0,18040.0,944704.0,790971.0
Burkina Faso,Africa,2021-06-28,20903278.0,13479.0,168.0,25833.0,0.0
Burundi,Africa,2021-06-28,11890781.0,5423.0,8.0,0.0,0.0
Cambodia,Asia,2021-06-28,16718971.0,48532.0,556.0,4019751.0,2938144.0
Cameroon,Africa,2021-06-28,26545864.0,80487.0,1320.0,88333.0,21991.0
Canada,North America,2021-06-28,37742157.0,1421695.0,26215.0,25610293.0,10589254.0
Cape Verde,Africa,2021-06-28,555988.0,32399.0,286.0,76390.0,6061.0
Cayman Islands,North America,2021-06-28,65720.0,0.0,0.0,48262.0,44793.0
Central African Republic,Africa,2021-06-28,4829764.0,7141.0,98.0,78137.0,0.0
Chad,Africa,2021-06-28,16425859.0,4951.0,174.0,8981.0,0.0
Chile,South America,2021-06-28,19116209.0,1551137.0,32454.0,12521570.0,10330751.0
China,Asia,2021-06-28,1439323774.0,91825.0,4636.0,622000000.0,223299000.0
Colombia,South America,2021-06-28,50882884.0,4187194.0,105326.0,11128130.0,6137238.0
Comoros,Africa,2021-06-28,869595.0,3912.0,146.0,43140.0,41220.0
Congo,Africa,2021-06-28,5518092.0,12485.0,165.0,102642.0,0.0
Cook Islands,Oceania,2021-06-21,17564.0,0.0,0.0,9613.0,7943.0
Costa Rica,North America,2021-06-28,5094114.0,364304.0,4648.0,1535967.0,795063.0
Cote d'Ivoire,Africa,2021-06-28,26378275.0,48203.0,313.0,745327.0,0.0
Croatia,Europe,2021-06-28,4105268.0,359666.0,8202.0,1482581.0,1062459.0
Cuba,North America,2021-06-28,11326616.0,184943.0,1253.0,2689157.0,961917.0
Curacao,North America,2021-06-28,164100.0,0.0,0.0,88632.0,78310.0
Cyprus,Europe,2021-06-28,888005.0,75099.0,374.0,453823.0,324112.0
Czechia,Europe,2021-06-28,10708982.0,1666947.0,30298.0,4994613.0,3101617.0
Democratic Republic of Congo,Africa,2021-06-28,89561404.0,40439.0,916.0,44840.0,8016.0
Denmark,Europe,2021-06-28,5792203.0,293916.0,2534.0,3281015.0,1884244.0
Djibouti,Africa,2021-06-28,988002.0,11601.0,155.0,12547.0,8810.0
Dominica,North America,2021-06-28,71991.0,193.0,0.0,20302.0,19007.0
Dominican Republic,North America,2021-06-28,10847904.0,323650.0,3801.0,4851699.0,2731358.0
Ecuador,South America,2021-06-28,17643060.0,455743.0,21523.0,2701284.0,1322723.0
Egypt,Africa,2021-06-28,102334403.0,280770.0,16125.0,3489503.0,763894.0
El Salvador,North America,2021-06-28,6486201.0,78766.0,2371.0,1585582.0,1089023.0
Equatorial Guinea,Africa,2021-06-28,1402985.0,8723.0,121.0,149185.0,111343.0
Eritrea,Africa,2021-06-28,3546427.0,5884.0,22.0,0.0,0.0
Estonia,Europe,2021-06-28,1326539.0,130983.0,1269.0,555280.0,383480.0
Eswatini,Africa,2021-06-28,1160164.0,19084.0,678.0,37231.0,10392.0
Ethiopia,Africa,2021-06-28,114963583.0,275974.0,4315.0,1894717.0,0.0
Faeroe Islands,Europe,2021-06-28,48865.0,0.0,0.0,28060.0,18814.0
Falkland Islands,South America,2021-04-14,3483.0,0.0,0.0,2632.0,1775.0
Fiji,Oceania,2021-06-28,896444.0,3832.0,17.0,256018.0,17990.0
Finland,Europe,2021-06-28,5540718.0,95168.0,969.0,3227042.0,986115.0
France,Europe,2021-06-28,67564251.0,5978650.0,111174.0,33378429.0,19635928.0
French Polynesia,Oceania,2021-06-21,280904.0,0.0,0.0,67913.0,57571.0
Gabon,Africa,2021-06-28,2225728.0,24984.0,159.0,37888.0,11458.0
Gambia,Africa,2021-06-28,2416664.0,6069.0,181.0,30688.0,10389.0
Georgia,Asia,2021-06-28,3989175.0,363874.0,5275.0,254737.0,94740.0
Germany,Europe,2021-06-28,83783945.0,3734830.0,90826.0,44886784.0,29803258.0
Ghana,Africa,2021-06-28,31072945.0,95476.0,795.0,852047.0,380829.0
Gibraltar,Europe,2021-06-24,33691.0,0.0,0.0,39211.0,38836.0
Greece,Europe,2021-06-28,10423056.0,421266.0,12663.0,4762181.0,3666080.0
Greenland,North America,2021-06-28,56772.0,0.0,0.0,25298.0,10453.0
Grenada,North America,2021-06-28,112519.0,161.0,1.0,19521.0,11973.0
Guatemala,North America,2021-06-28,17915567.0,291977.0,9089.0,764745.0,157815.0
Guernsey,Europe,2021-06-25,67052.0,0.0,0.0,32969.0,13618.0
Guinea,Africa,2021-06-28,13132792.0,23744.0,168.0,382506.0,148636.0
Guinea-Bissau,Africa,2021-06-28,1967998.0,3846.0,69.0,21855.0,1028.0
Guyana,South America,2021-06-28,786559.0,19891.0,466.0,230486.0,104605.0
Haiti,North America,2021-06-28,11402533.0,18212.0,413.0,0.0,0.0
Honduras,North America,2021-06-28,9904608.0,260331.0,6922.0,625910.0,58125.0
Hong Kong,Asia,2021-06-28,7496988.0,11920.0,211.0,2179683.0,1433295.0
Hungary,Europe,2021-06-28,9660350.0,808042.0,29989.0,5477405.0,4874076.0
Iceland,Europe,2021-06-28,341250.0,6555.0,29.0,258852.0,177540.0
India,Asia,2021-06-28,1380004385.0,30316897.0,397637.0,265545768.0,55877810.0
Indonesia,Asia,2021-06-28,273523621.0,2135998.0,57561.0,27419898.0,13182034.0
Iran,Asia,2021-06-28,83992953.0,3180092.0,83985.0,4013642.0,955000.0
Iraq,Asia,2021-06-28,40222503.0,1332046.0,17121.0,548696.0,256667.0
Ireland,Europe,2021-06-28,4937796.0,271589.0,4989.0,2349219.0,1000000.0
Isle of Man,Europe,2021-06-28,85032.0,0.0,0.0,63236.0,41018.0
Israel,Asia,2021-06-28,8655541.0,841196.0,6430.0,5566179.0,5163037.0
Italy,Europe,2021-06-28,60461828.0,4258456.0,127500.0,33582287.0,18092767.0
Jamaica,North America,2021-06-28,2961161.0,50054.0,1061.0,172958.0,77025.0
Japan,Asia,2021-06-28,126476458.0,797084.0,14659.0,28049718.0,13786436.0
Jersey,Europe,2021-06-23,101073.0,0.0,0.0,69246.0,51963.0
Jordan,Asia,2021-06-28,10203140.0,750389.0,9737.0,2371379.0,1246619.0
Kazakhstan,Asia,2021-06-28,18776707.0,478063.0,3527.0,3165155.0,1905062.0
